	Year	Team and Location	FT/Game	Wins	Loss	Win%	Attendance
208	2015	Dallas Mavericks	22.4756097561	49	33	59.756097561	20187
209	2015	New Orleans Pelicans	21.8292682927	43	39	52.4390243902	16677
210	2016	Toronto Raptors	26.7073170732	53	29	64.6341463415	19825
211	2016	Boston Celtics	23.5243902439	50	32	60.9756097561	18270
212	2016	New York Knicks	21.3780487805	33	49	40.243902439	19812
213	2016	Brooklyn Nets	20.7195121951	22	60	26.8292682927	15125
214	2016	Philadelphia 76ers	22.5609756098	16	66	19.512195122	14881
215	2016	Cleveland Cavaliers	21.743902439	57	25	69.512195122	20562
216	2016	Indiana Pacers	22.8292682927	46	36	56.0975609756	16847
217	2016	Detroit Pistons	25.5487804878	43	39	52.4390243902	16515
218	2016	Chicago Bulls	20.9756097561	37	45	45.1219512195	21820
219	2016	Milwaukee Bucks	22.7195121951	29	53	35.3658536585	15166
220	2016	Miami Heat	23.0365853659	46	36	56.0975609756	19740
221	2016	Atlanta Hawks	19.9756097561	51	31	62.1951219512	16832
222	2016	Charlotte Hornets	23.6707317073	49	33	59.756097561	17485
223	2016	Washington Wizards	22.5487804878	40	42	48.7804878049	17693
224	2016	Orlando Magic	20.1097560976	36	46	43.9024390244	17543
225	2016	Oklahoma City Thunder	25.2073170732	59	23	71.9512195122	18203
226	2016	Portland Trail Blazers	23.0365853659	43	39	52.4390243902	19367
227	2016	Utah Jazz	22.987804878	46	36	56.0975609756	19304
228	2016	Denver Nuggets	24.0731707317	33	49	40.243902439	14095
229	2016	Minnesota Timberwolves	26.987804878	31	51	37.8048780488	14175
230	2016	Golden State Warriors	21.8292682927	65	17	79.2682926829	19596
231	2016	Los Angeles Clippers	26.243902439	53	29	64.6341463415	19192
232	2016	Sacramento Kings	25.4756097561	34	48	41.4634146341	17256
233	2016	Phoenix Suns	23.2317073171	24	58	29.2682926829	17107
234	2016	Los Angeles Lakers	24.7317073171	17	65	20.7317073171	18997
235	2016	San Antonio Spurs	20.3902439024	67	15	81.7073170732	18449
236	2016	Dallas Mavericks	22.3292682927	40	42	48.7804878049	20143
237	2016	Memphis Grizzlies	24.6829268293	35	47	42.6829268293	16697
238	2016	Houston Rockets	29.3536585366	42	40	51.2195121951	17981
239	2016	New Orleans Pelicans	22.2317073171	31	51	37.8048780488	16793
